Admin2,Crop,Area,Admin1
Azamgarh,oilpalm,0,Uttar Pradesh
Azamgarh,other oil crops,1.70000002533197,Uttar Pradesh
Azamgarh,other pulses,423.399997472763,Uttar Pradesh
Azamgarh,other roots,0,Uttar Pradesh
Azamgarh,pigeonpea,8212.700050354,Uttar Pradesh
Azamgarh,plantain,0,Uttar Pradesh
Azamgarh,pearl millet,525.599987886846,Uttar Pradesh
Azamgarh,potato,6618.90000152588,Uttar Pradesh
Azamgarh,rapeseed,2064.89999389648,Uttar Pradesh
Azamgarh,robusta coffee,0,Uttar Pradesh
Azamgarh,rice,212521.400146484,Uttar Pradesh
Azamgarh,sesameseed,58.5000007003546,Uttar Pradesh
Azamgarh,small millet,30.6000012159348,Uttar Pradesh
Azamgarh,sorghum,12951.0001482368,Uttar Pradesh
Azamgarh,soybean,0,Uttar Pradesh
Azamgarh,sugarbeet,0,Uttar Pradesh
Azamgarh,sugarcane,19229.8999023438,Uttar Pradesh
Azamgarh,sunflower,8.00000015646219,Uttar Pradesh
Azamgarh,sweet potato,521.600001335144,Uttar Pradesh
Azamgarh,tea,0,Uttar Pradesh
Azamgarh,temperate fruit,0,Uttar Pradesh
Azamgarh,tobacco,113.599999129772,Uttar Pradesh
Azamgarh,tropical fruit,593.599989891052,Uttar Pradesh
Azamgarh,vegetables,1586.29999923706,Uttar Pradesh
Azamgarh,wheat,232516.001464844,Uttar Pradesh
Azamgarh,yams,0,Uttar Pradesh
Baghpat,arabica coffee,0,Uttar Pradesh
Baghpat,banana,4,Uttar Pradesh
Baghpat,barley,28.1000003814697,Uttar Pradesh
Baghpat,bean,9660.50006103516,Uttar Pradesh
Baghpat,cassava,0,Uttar Pradesh
Baghpat,chickpea,0.100000001490116,Uttar Pradesh
Baghpat,coconut,0,Uttar Pradesh
